linha,coluna,poco,wumpus,ouro,brisa,fedor,brilho
5,8,false,false,false,true,false,false
5,9,false,false,false,false,false,false
5,10,false,false,false,false,false,false
5,11,false,false,false,true,false,false
5,12,false,false,false,false,false,false
5,13,false,false,false,false,false,false
5,14,false,false,false,false,false,false
5,15,false,false,false,false,false,false
5,16,false,false,false,false,false,false
5,17,false,false,false,false,false,false
5,18,false,false,false,false,false,false
5,19,false,false,false,false,false,false
6,0,false,false,false,false,false,false
6,1,false,false,false,true,false,false
6,2,false,false,false,false,false,false
6,3,false,false,false,false,false,false
6,4,false,false,false,false,false,false
6,5,false,false,false,true,false,false
6,6,false,false,false,true,false,false
6,7,false,false,false,true,false,false
6,8,false,false,false,false,false,false
6,9,false,false,false,false,false,false
6,10,false,false,false,true,false,false
6,11,false,false,false,false,false,false
6,12,false,false,false,false,false,false
6,13,false,false,false,false,false,false
6,14,false,false,false,false,false,false
6,15,false,false,false,false,false,false
6,16,false,false,false,false,false,false
6,17,false,false,false,false,false,false
6,18,false,false,false,false,false,false
6,19,false,false,false,false,false,false
7,0,false,false,false,true,false,false
7,1,true,false,false,false,false,false
7,2,false,false,false,true,false,false
7,3,false,false,false,false,false,false
7,4,false,false,false,true,false,false
7,5,true,false,false,true,false,false
7,6,false,false,false,true,false,false
7,7,false,false,false,false,false,false
7,8,false,false,false,false,false,false
7,9,false,false,false,true,false,false
7,10,true,false,false,false,false,false
7,11,false,false,false,true,false,false
7,12,false,false,false,false,false,false
7,13,false,false,false,false,false,false
7,14,false,false,false,false,false,false
7,15,false,false,false,false,false,false
7,16,false,false,false,false,false,false
7,17,false,false,false,false,false,false
7,18,false,false,false,false,false,false
7,19,false,false,false,false,false,false
8,0,false,false,false,true,false,false
8,1,false,false,false,true,false,false
8,2,false,false,false,true,false,false
8,3,false,false,false,false,false,false
8,4,false,false,false,true,false,false
8,5,true,false,false,true,false,false
8,6,false,false,false,true,false,false
8,7,false,false,false,false,false,false
8,8,false,false,false,false,false,false
8,9,false,false,false,false,false,false
8,10,false,false,false,true,false,false
8,11,false,false,false,false,false,false
8,12,false,false,false,false,false,false
8,13,false,false,false,false,false,false
8,14,false,false,false,false,false,false
8,15,false,false,false,false,false,false
8,16,false,false,false,false,false,false
8,17,false,false,false,true,false,false
8,18,false,false,false,false,false,false
8,19,false,false,false,false,false,false
9,0,true,false,false,true,false,false
9,1,false,false,false,true,false,false
9,2,true,false,false,false,false,false
9,3,false,false,false,true,false,false
9,4,false,false,false,true,false,false
9,5,false,false,false,true,false,false
9,6,false,false,false,false,false,false
9,7,false,false,false,false,false,false
9,8,false,false,false,false,false,false
9,9,false,false,false,true,false,false
9,10,false,false,false,true,false,false
9,11,false,false,false,false,false,false
9,12,false,false,false,false,false,false
9,13,false,false,false,true,false,false
9,14,false,false,false,false,false,false
9,15,false,false,false,false,false,false
9,16,false,false,false,true,false,false
9,17,true,false,false,false,false,false
9,18,false,false,false,true,false,false
9,19,false,false,false,false,false,false
10,0,true,false,false,true,false,false
10,1,false,false,false,true,false,false
10,2,false,false,false,true,false,false
10,3,false,false,false,true,false,false
10,4,true,false,false,false,false,false
10,5,false,false,true,true,false,true
10,6,false,false,false,false,false,false
10,7,false,false,false,false,false,false
10,8,false,false,false,true,false,false
10,9,true,false,false,true,false,false
10,10,true,false,false,true,false,false
10,11,false,false,false,true,false,false
10,12,false,false,false,true,false,false
10,13,true,false,false,false,false,false
10,14,false,false,false,true,false,false
10,15,false,false,false,false,false,false
10,16,false,false,false,false,false,false
10,17,false,false,false,true,false,false
10,18,false,false,false,false,false,false
10,19,false,false,false,false,false,false
11,0,false,false,false,true,false,false
11,1,false,false,false,false,false,false
11,2,false,false,false,false,false,false
11,3,false,false,false,false,false,false
11,4,false,false,false,true,false,false
11,5,false,false,false,false,false,false
11,6,false,false,false,false,false,false
11,7,false,false,false,false,false,false
11,8,false,false,false,true,false,false
11,9,false,false,false,true,false,false
11,10,false,false,false,true,false,false
11,11,false,false,false,false,false,false
11,12,false,false,false,false,false,false
11,13,false,false,false,true,false,false
11,14,false,false,false,false,false,false
11,15,false,false,false,false,false,false
11,16,false,false,false,true,false,false
11,17,true,false,false,false,false,false
11,18,false,false,false,true,false,false
11,19,false,false,false,false,false,false
12,0,false,false,false,false,false,false
12,1,false,false,false,false,false,false
12,2,false,false,false,false,false,false
12,3,false,false,false,false,false,false
12,4,false,false,false,false,false,false
12,5,false,false,false,false,false,false
12,6,false,false,false,false,false,false
12,7,false,false,false,true,false,false
12,8,true,false,false,true,false,false
12,9,true,false,false,true,false,false
12,10,false,false,false,true,false,false
12,11,false,false,false,false,false,false
12,12,false,false,false,false,false,false
12,13,false,false,false,false,false,false
12,14,false,false,false,false,false,false
12,15,false,false,false,true,false,false
12,16,false,false,false,false,false,false
12,17,false,false,false,true,false,false
12,18,false,false,false,false,false,false
12,19,false,false,false,false,false,false
13,0,false,false,false,false,false,false
13,1,false,false,false,false,false,false
13,2,false,false,false,false,false,false
13,3,false,false,false,false,false,false
13,4,false,false,false,false,false,false
13,5,false,false,false,false,false,false
13,6,false,false,false,false,false,false
13,7,false,false,false,false,false,false
13,8,false,false,false,true,false,false
13,9,false,false,false,true,false,false
13,10,false,false,false,false,false,false
13,11,false,false,false,false,false,false
13,12,false,false,false,false,false,false
13,13,false,false,false,false,false,false
13,14,false,false,false,true,false,false
13,15,true,false,false,false,false,false
13,16,false,false,false,true,false,false
13,17,false,false,false,false,false,false
13,18,false,false,false,false,false,false
13,19,false,false,false,false,false,false
14,0,false,false,false,false,false,false
14,1,false,false,false,true,false,false
14,2,false,false,false,false,false,false
14,3,false,false,false,false,false,false
14,4,false,false,false,false,false,false
14,5,false,false,false,false,false,false
14,6,false,false,false,false,false,false
14,7,false,false,false,false,false,false
14,8,false,false,false,false,false,false
14,9,false,false,false,false,false,false
14,10,false,false,false,false,false,false
14,11,false,false,false,false,false,false
14,12,false,false,false,false,false,false
14,13,false,false,false,false,false,false
14,14,false,false,false,true,false,false
14,15,false,false,false,true,false,false
14,16,false,false,false,false,false,false
14,17,false,false,false,true,false,false
14,18,false,false,false,false,false,false
14,19,false,false,false,false,false,false
15,0,false,false,false,true,false,false
15,1,true,false,false,false,false,false
15,2,false,false,false,true,false,false
15,3,false,false,false,false,false,false
15,4,false,false,false,false,false,false
15,5,false,false,false,false,false,false
15,6,false,false,false,false,false,false
15,7,false,false,false,false,false,false
15,8,false,false,false,false,false,false
15,9,false,false,false,false,false,false
15,10,false,false,false,false,false,false
15,11,false,false,false,false,false,false
15,12,false,false,false,true,false,false
15,13,false,false,false,true,false,false
15,14,true,false,false,false,false,false
15,15,false,false,false,true,false,false
15,16,false,false,false,true,false,false
15,17,true,false,false,false,false,false
15,18,false,false,false,true,false,false
15,19,false,false,false,false,false,false
16,0,false,false,false,false,false,false
16,1,false,false,false,true,false,false
16,2,false,false,false,false,false,false
16,3,false,false,false,false,false,false
16,4,false,false,false,false,false,false
16,5,false,false,false,false,false,false
16,6,false,false,false,false,false,false
16,7,false,false,false,false,false,false
16,8,false,false,false,false,false,false
16,9,false,false,false,true,false,false
16,10,false,false,false,false,false,false
16,11,false,false,false,true,false,false
16,12,true,false,false,false,false,false
16,13,false,false,false,true,false,false
16,14,false,false,false,true,false,false
16,15,false,false,false,true,false,false
16,16,false,false,false,false,false,false
16,17,false,false,false,true,false,false
16,18,true,false,false,false,false,false
16,19,false,false,false,true,false,false
17,0,false,false,false,false,false,false
17,1,false,false,false,false,false,false
17,2,false,false,false,false,false,false
17,3,false,false,false,true,false,false
17,4,false,false,false,false,false,false
17,5,false,false,false,false,false,false
17,6,false,false,false,false,false,false
17,7,false,false,false,false,false,false
17,8,false,false,false,true,false,false
17,9,true,false,false,false,false,false
17,10,false,false,false,true,false,false
17,11,false,false,false,false,false,false
17,12,false,false,false,true,false,false
17,13,false,false,false,true,false,false
17,14,true,false,false,true,false,false
17,15,true,false,false,true,false,false
17,16,false,false,false,true,false,false
17,17,false,false,false,false,false,false
17,18,false,false,false,true,false,false
17,19,false,false,false,false,false,false
18,0,false,false,false,false,false,false
18,1,false,false,false,false,false,false
18,2,false,false,false,true,false,false
18,3,true,false,false,false,false,false
18,4,false,false,false,true,false,false
18,5,false,false,false,false,false,false
18,6,false,false,false,false,false,false
18,7,false,false,false,false,false,false
18,8,false,false,false,false,false,false
18,9,false,false,false,true,false,false
18,10,false,false,false,false,false,false
18,11,false,false,false,true,false,false
18,12,true,false,false,false,false,false
18,13,false,false,false,true,false,false
18,14,true,false,false,true,false,false
18,15,false,false,false,true,false,false
18,16,false,false,false,true,false,false
18,17,false,false,false,false,false,false
18,18,false,false,false,false,false,false
18,19,false,false,false,false,false,false
19,0,false,false,false,false,false,false
19,1,false,false,false,false,false,false
19,2,false,false,false,false,false,false
19,3,false,false,false,true,false,false
19,4,false,false,false,false,false,false
19,5,false,false,false,false,false,false
19,6,false,false,false,false,false,false
19,7,false,false,false,false,false,false
19,8,false,false,false,false,false,false
19,9,false,false,false,false,false,false
19,10,false,false,false,false,false,false
19,11,false,false,false,false,false,false
19,12,false,false,false,true,false,false
19,13,false,false,false,true,false,false
19,14,true,false,false,true,false,false
19,15,false,false,false,true,false,false
19,16,true,false,false,false,false,false
19,17,false,false,false,true,false,false
19,18,false,false,false,false,false,false
19,19,false,false,false,false,false,false
